Date,TMP,WASH,THFF,CTBI,HFWA,HBNC,GSBC,JPM,WFC,GABC,RJF,SNV,MFG,CFR,WTFC,BOKF,FNB,PB,HWC,WAFD,CMA,FHN,FULT,WBS,TCBI,VLY,FCNCA,EWBC,ABCB,HTLF,BANR,WSFS,COLB,UCBI,SIVB,UBSI,UMPQ,WAL,WSBC,SASR,GBCI,CVBF,PPBI,HOMB,AUB,CATY,HTH,CBU,SFNC,FNLC,INDB,SSB,NTRS,BCS
2011-01-03,0.033963503788290605,0.025137291495769265,-0.003984067048469986,0.027624150724022245,0.002873619426630558,-0.010902039724225987,0.02755413505746973,0.02734535487738876,0.019038767200882045,0.01845823063749341,0.00948032042182323,0.03409098300573987,0.029333305358886674,0.011616912556444925,0.03511914616801581,0.031460368736135225,0.04073341094116456,0.019348047325231432,0.01491716788765407,-0.0011824277969324504,0.01254711176121237,0.03225789852078709,0.0125726990400441,0.0030458526756755866,0.009372106912342248,0.014685781831559552,0.020894185284016764,0.009207295643157476,0.029411397088728863,0.04581920242935955,-0.03448241931454943,0.03857480994459639,0.027065221226003855,0.0,0.034495793729931945,0.025684949366418408,0.045977003339460865,0.03125013843190749,0.0321732922243787,0.02929999255441329,0.027134223261738866,0.006920422861206976,-0.03395060066836719,0.04266913635643488,0.01962099794015959,0.010778313497274983,0.01108880805617618,0.017284544891148723,0.05017511367527949,0.0044333059655286,0.04473195178528644,0.014961730778525473,0.0093845949192215,0.01513309453843914
2011-01-04,-0.005927518646266061,-0.01917063660685081,-0.019999940969413932,-0.03326596426687123,-0.01719201836042128,0.0011400789598290384,-0.013613984533486723,0.014472749413997565,0.002216459074755317,-0.021321934662656195,-0.01757033654527862,0.0,-0.00259067117487799,-0.014879317242298962,-0.048844283088774754,-0.01543211128339439,-0.006849281123945783,-0.012987050245535592,-0.023459644589474693,-0.012425720460340295,0.013794995928422038,-0.013980619149117302,-0.012416589003400369,-0.011639840797016188,-0.015784593228257426,-0.019986588947310868,-0.006684172754111595,-0.006082336806371824,-0.024884384789084613,-0.006023827267539916,-0.013392730683055354,-0.029835392750682033,-0.024965061593662408,0.010256112409099183,-0.03571433784662703,-0.01903169723483844,-0.019623589909160022,-0.042160821225680656,-0.017884765243797673,-0.03479172846704559,-0.010953467844756148,-0.028636575594353175,0.023961535783982413,-0.11928619067140667,-0.03450572320499479,-0.008886311807981828,-0.013958229431619285,-0.029026331240890824,-0.013364564988965655,-0.00414961707341166,-0.03149332364468915,-0.04091454733139377,0.0012514187188110704,0.019678175635583273
2011-01-05,0.009689343703989106,0.019090779708885064,0.004081481355633798,0.015640764913176675,0.013119341197711298,-0.005315323347417911,0.015056540064793067,0.012228203934212978,0.022748817362230556,-0.015250535132818599,0.002158529647331653,-0.010989012414199695,-0.018181801292662225,0.0062385916563825194,0.024600164570453442,0.012908062768401063,0.009851986708208083,0.0116395458221501,0.004920142108697734,0.013780784220365438,-0.004151219652294924,0.03085904499105041,0.00483573430143025,0.055811397439338606,0.016509361392709865,0.018284141826903744,0.00620714025642588,0.031616738459051774,0.04631350800932643,0.002203740287173739,-0.004525277363055857,0.03702901568716421,0.027501073144034605,0.1319798011917266,0.012660657725338975,0.011912926859778183,0.011209372927307726,0.03576337303315724,-0.010405596654828209,0.026215224008635518,0.015634658358519626,0.012971435889511884,-0.01716067983802272,0.037073562613084254,0.026116833100795933,0.022714055726585025,0.0020217987708837093,0.012030786077992017,0.011175216114284625,-0.010897165136586895,0.023017757220126667,0.024780382035222592,0.009821675029389798,0.020467926886167165
2011-01-06,-0.003690719423353528,-0.008474465934726227,-0.02845523390425775,0.003080087559532041,0.0028778530719968387,0.011450371878153787,-0.01812903913610775,-0.0049215010008245574,-0.006796354142855843,0.0,0.007076754677957542,0.0,0.013227500712890583,-0.005057830559031085,-0.01230489836852433,-0.010194476078476677,-0.0019513366523314923,0.0030016509355239585,-0.01296066845426802,0.0005909943611850377,-0.04330705973436666,-0.006472188077797925,-0.008662262600453774,-0.016003587306213318,-0.009744737443494245,-0.015193412853449328,-0.0014513322635418824,0.005931714099777441,0.002710118733688649,-0.027487869261106135,0.0,-0.004841611324297612,-0.02399658000587368,-0.09417024690082132,-0.021459255879912043,-0.009418124129132566,-0.019002550542464913,-0.03585643676476469,-0.022607689705868683,-0.03246403847980528,-0.005131237494433671,-0.01979028251642545,-0.015872934539145178,0.009056277835421067,0.005358646071675688,-0.021040890537161183,0.0010095351918730788,-0.014049064740268014,-0.013060998719247374,0.02333104218273241,-0.0032142026495851628,-0.025711664897029696,-0.0035366155176604908,-0.010888416789925914
2011-01-07,-0.021240058813893237,-0.011246456023530249,-0.03496688395709502,-0.021152713634647324,-0.01076029342971152,-0.009433591587063583,-0.010071716485472448,-0.01888469756121447,-0.02021769835183629,-0.007743357918389759,-0.010998863749921317,-0.05555536614093615,0.013054880347486142,-0.012463035365668507,-0.03767859079746716,-0.02556579597757902,-0.03421323539789867,-0.03042396465091113,-0.015757502063305173,0.007088182332991799,-0.007262652904067579,-0.023615929774289612,-0.030096771195027627,-0.019714241481944228,-0.036551109703292006,-0.018232791685267036,-0.013446024908301712,-0.006879797772885499,-0.010810892784781867,-0.040700789928281744,-0.01818159683420628,-0.017839203575404694,-0.04775346232658928,-0.034653437913070295,-0.0034325001885888717,-0.03531415478701139,-0.016142182417390294,-0.008264591282690859,-0.01882708291756785,-0.016501783453363728,-0.039661612008987324,-0.03919239365222449,0.004838600505115087,-0.014643458166930357,-0.02131932306793005,-0.05313395107734342,-0.0020163073699195344,-0.022652463067574735,-0.0203598021557877,-0.027865497782463167,-0.03439650619241663,0.000628224602067684,-0.019343794330870412,0.0
2011-01-10,0.007822282699029515,0.004094572385699546,0.0037161239304075444,-0.0038341544018820617,0.012327740939438891,0.0,-0.0012713433198691115,-0.005499858316769912,-0.009523864956834993,0.004458949030127668,0.008032226204654602,0.011764496795275026,0.010309268214748757,0.004981455354521325,0.0022102696334527216,0.011891055678201479,0.02834056545853758,0.007458544260629862,-0.0014822719986755661,0.008797394993311336,-0.001706520703795289,0.001668184761573821,0.01601591708780692,-0.006033193427715466,0.020914412273603133,0.008571527890622654,0.003367938343136645,0.01039118591705801,-0.009107522066296392,-0.001178522459217235,-0.009259310885575966,-0.010526085658213225,0.012412520522696813,-0.08205148812006124,0.006505935007804942,0.015839545273411026,0.00820380919412167,0.009722246895441433,0.018091613286919328,0.0016780209482420982,0.014895135857856623,0.0197776831372225,0.009630936669976498,0.008629218176775089,-0.021783565082288958,0.034047952200240594,0.0020203810791796784,0.011215011813306308,0.009352331059103935,0.003908755561945032,0.008534430422911576,0.005023740997069037,-0.009952934114327294,0.005214533936215293
2011-01-11,0.004757165000664587,0.00770303340170142,0.008022186895697114,0.020993472712211192,0.013610262108029847,0.0,0.011035150616200307,0.004608701432393003,0.006410350045743751,0.0027750937615009796,0.002144783287479024,0.04263577912607097,0.007653053777012531,0.0016524302766713905,0.0,0.0052231319487676675,0.007874040354586942,0.006893360904197898,-0.002375045916272134,0.011046530043394176,0.005861949776035491,0.008326105721590427,0.001970581893646406,0.005564012093329129,0.011910433669656051,0.0,0.0003669289947729748,0.01077381677168443,-0.00459542350786879,0.05073735334573359,0.0,-0.0056321001606396415,-0.006865914668680362,-0.022346399198753808,0.031368851211862614,0.0031184726353594705,0.0048818576160212235,0.004126715529226832,0.009693442356692339,0.00502533533270233,-0.01667781749398667,0.018181550633296073,0.006359350090562321,-0.01568449536325489,0.018789106677924883,0.0018292224777938237,0.013104803963137845,-0.0003697869471263049,-0.0030883583826557537,0.02660627005324856,-0.0044148364094498405,0.014370612159399831,0.002559277238809665,0.050720396504317256
2011-01-12,0.005980829591187176,-0.004046833937195737,0.01316191021650348,0.005483372175100865,0.017668214223241607,-0.001905125727374557,0.021830509831161526,0.025458122513611903,0.019426533068031215,-0.003873924740934731,0.02140717846552964,0.026021932478334175,0.04050635035422667,0.003299057509918768,0.00535594987628607,0.00222684019676489,0.013671806654901086,-0.0005069697653048433,0.002976406413607746,0.006900828711776441,0.020398768566742165,0.02725066812436161,0.016715401448523126,0.008551114792218595,0.011299424374030087,0.0056654514201750494,0.006500954895408029,0.006782788015890606,0.012003743899148267,0.011229641298046156,0.01869160998037178,0.019928624183542354,0.025678952502135477,0.03428585619225344,0.020829512776317616,0.006908541659122136,0.008097406779706384,-0.004109755736408038,0.018133293594077005,0.0,0.006784236643051278,-0.005952111652971492,-0.004739476051827229,0.001448223629978651,0.022541074243383363,-0.0006087461054125054,-0.002985185058416051,0.002219244515421215,0.005163152469889631,-0.003793315150802834,0.006651620430232041,0.0003078130811715596,0.01914303225867009,0.04772355104043391
2011-01-13,-0.004211648769963383,-0.03205415342815665,-0.01208456821021775,-0.009542845577035886,0.0,0.0236643953585145,-0.01684451809148113,-0.005815029579139597,-0.003748883705562367,-0.005555418943207657,0.006586743336537859,0.00724655064368962,0.009732350499663811,-0.005425773104447251,-0.0056407463159963145,-0.0057397524243001374,-0.026975182945302878,-0.008878920018977166,-0.014837005486437516,-0.006853533649987531,-0.00023811886939928417,0.00321528219690137,-0.017408104991982642,-0.017456218936156565,-0.0032588312996272295,0.0,-0.0055214533421373835,-0.006737091750701918,0.0018246563183936804,-0.016657533936344504,0.00458697554555787,-0.015425690370168943,-0.009147979862847433,-0.060773541965344346,-0.012459415458616063,-0.00960541682258953,-0.0032130155877817534,-0.012379663624250026,-0.013095810861631696,0.0,-0.016172709110465866,0.0,0.0015872934539145067,-0.00723234071005352,0.004676021701007116,-0.006090101027965811,0.0,-0.003690550624802391,-0.011986186050861991,-0.01268967702385293,-0.008810043096298847,-0.01631769875831579,-0.0071556538956439875,0.010994989262705701
2011-01-14,0.01741304089411644,0.001399007526963869,0.012843966395289286,0.0247756979649687,0.0020830645135236914,0.0,0.01504384344947396,0.010348817696459456,0.026967853763097516,0.003910507391464035,0.011897940442738397,-0.0035970169327124157,-0.002409693651091449,0.022152492599508466,0.03403735106619088,0.041713370448690945,0.04257449597458529,0.03967253419297001,0.013855566815927478,0.023001860489622716,0.005712765691003874,0.004006320740193914,0.04822840855381205,0.0862944136157664,0.06165341916075584,0.026056962898516778,0.023989171165425205,0.03246110130214075,0.0,0.03783169543176568,0.013698832522520021,0.03217036592360656,0.024781640830867868,0.10588207345311562,0.017187830773635726,0.055767063773303205,0.010475408831541078,0.015320283277941549,0.020700430610852694,0.038333143052191154,0.06712368716332362,0.051496685003376674,0.014263084031022943,0.0033999075079536034,-0.03390969239177899,0.06066161353205457,0.000998246593015839,0.04963029892851578,0.013864955221812192,0.019279909353560054,0.02703661304347582,0.03380263102994285,0.006846971032453464,0.023821347790978775
