SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%)
1,TMP,2010,"426,163,399",0.082,1.665,7.375,0.127,0.011,0.014,0.02605,28.47077645,27.5749756,0.183
1,TMP,2011,"428,342,340",0.005,1.277,5.532,0.12,0.011,0.014,0.03635,28.63944658,27.65389292,0.072
1,TMP,2012,"569,355,543",0.329,0.84,6.747,0.081,0.007,0.01,0.03683,28.68461186,27.73765104,0.165
1,TMP,2013,"755,896,589",0.328,1.175,6.94,0.115,0.01,0.014,0.02997,28.87522226,27.80750557,0.085
1,TMP,2014,"816,398,213",0.08,1.108,7.867,0.107,0.01,0.014,0.02929,29.09780706,27.87699419,0.123
1,TMP,2015,"836,855,660",0.025,1.379,9.279,0.115,0.011,0.015,0.03027,29.13246521,27.94680411,0.241
1,TMP,2016,"1,423,389,891",0.701,1.81,13.276,0.108,0.01,0.013,0.01872,29.12894515,28.00762577,0.54
1,TMP,2017,"1,236,784,388",-0.131,2.024,22.846,0.091,0.008,0.013,0.02237,29.12665913,28.07258295,1.302
1,TMP,2018,"1,145,996,404",-0.073,1.896,12.701,0.138,0.012,0.014,0.02586,29.08537915,28.13855114,2.274
1,TMP,2019,"1,367,031,594",0.193,1.112,7.657,0.125,0.012,0.014,0.02208,28.99969003,28.18771164,1.551
2,WASH,2010,"353,619,615",0.415,2.065,19.303,0.091,0.008,0.01,0.03317,28.47077645,27.5749756,0.183
2,WASH,2011,"388,658,522",0.099,2.108,17.029,0.106,0.01,0.013,0.02682,28.63944658,27.65389292,0.072
2,WASH,2012,"430,728,166",0.108,1.337,205.07,0.119,0.012,0.015,0.02851,28.68461186,27.73765104,0.165
2,WASH,2013,"617,866,330",0.434,0.943,3.968,0.115,0.012,0.016,0.01148,28.87522226,27.80750557,0.085
2,WASH,2014,"672,020,424",0.088,1.239,-166.4,0.119,0.012,0.017,0.01782,29.09780706,27.87699419,0.123
2,WASH,2015,"671,901,533",0,1.07,8.586,0.119,0.012,0.016,0.02261,29.13246521,27.94680411,0.241
2,WASH,2016,"959,661,588",0.428,2.23,15.389,0.119,0.011,0.015,0.01772,29.12894515,28.00762577,0.54
2,WASH,2017,"917,011,807",-0.044,1.97,14.381,0.112,0.01,0.015,0.02134,29.12665913,28.07258295,1.302
2,WASH,2018,"822,010,912",-0.104,2.172,12.337,0.16,0.014,0.016,0.02405,29.08537915,28.13855114,2.274
