SL,ID,Year, Market Capitalization ,Market Cap Growth,Debt / Equity Ratio,Debt / FCF Ratio,Return on Equity (ROE),Return on Assets (ROA),Return on Capital (ROIC),Total Shareholders Return,Log Total Assets,Log Currency in Circulation ($ Bil),Effective Federal Funds Rate (%),Loss Function
6,HBNC,2012,"170,832,011",0.986,2.378,19.528,0.133,0.011,0.014,,14.881,7.053,0.165,-15.307
6,HBNC,2013,"220,262,613",0.289,1.755,7.105,0.12,0.011,0.014,,15.2,7.115,0.085,-7.407
6,HBNC,2014,"240,769,946",0.093,1.974,33.641,0.097,0.009,0.011,,15.319,7.19,0.123,-2.841
6,HBNC,2015,"333,643,521",0.386,1.807,16.284,0.088,0.008,0.01,,15.317,7.255,0.241,-1.759
6,HBNC,2016,"620,818,884",0.861,0.895,12.619,0.078,0.008,0.01,,15.311,7.313,0.54,-0.519
6,HBNC,2017,"708,411,776",0.141,1.317,12.977,0.085,0.009,0.013,,15.308,7.381,1.302,-0.088
6,HBNC,2018,"605,445,304",-0.145,1.196,8.543,0.112,0.013,0.014,,15.222,7.442,2.274,0.013
6,HBNC,2019,"854,425,649",0.411,0.924,3.57,0.105,0.013,0.015,,15.23,7.492,1.551,0.029
7,GSBC,2010,"317,190,550",0.108,1.633,13.039,0.067,0.006,0.009,,14.688,6.887,0.183,-28.982
7,GSBC,2011,"317,882,634",0.002,1.502,5.872,0.083,0.007,0.01,,14.877,6.972,0.072,-20.251
7,GSBC,2012,"345,889,678",0.088,1.063,3.255,0.136,0.012,0.016,,14.881,7.053,0.165,-15.307
7,GSBC,2013,"415,608,270",0.202,0.913,4.26,0.088,0.009,0.011,,15.2,7.115,0.085,-7.407
7,GSBC,2014,"544,576,709",0.31,1.236,10.445,0.106,0.011,0.014,,15.319,7.19,0.123,-2.841
7,GSBC,2015,"627,748,189",0.153,1.033,7.268,0.107,0.011,0.015,,15.317,7.255,0.241,-1.759
7,GSBC,2016,"761,146,619",0.213,0.981,5.941,0.109,0.01,0.013,,15.311,7.313,0.54,-0.519
7,GSBC,2017,"726,131,597",-0.046,0.698,5.885,0.113,0.012,0.015,,15.308,7.381,1.302,-0.088
7,GSBC,2018,"651,706,549",-0.103,0.757,4.618,0.134,0.015,0.017,,15.222,7.442,2.274,0.013
7,GSBC,2019,"901,507,419",0.383,0.696,5.611,0.127,0.015,0.018,,15.23,7.492,1.551,0.029
8,IBAI,2010,"263,984,164",0.733,1.244,5.94,0.057,0.006,0.01,,14.688,6.887,0.183,-28.982
8,IBAI,2011,"220,057,963",-0.166,1.172,6.501,0.07,0.006,0.01,,14.877,6.972,0.072,-20.251
8,IBAI,2012,"302,267,013",0.374,0.904,6.289,0.081,0.007,0.011,,14.881,7.053,0.165,-15.307
8,IBAI,2013,"443,251,229",0.466,0.689,5.004,0.075,0.008,0.012,,15.2,7.115,0.085,-7.407
8,IBAI,2014,"443,554,219",0.001,0.929,8.153,0.084,0.009,0.013,,15.319,7.19,0.123,-2.841
8,IBAI,2015,"446,917,411",0.008,1.134,12.407,0.082,0.009,0.012,,15.317,7.255,0.241,-1.759
8,IBAI,2016,"866,631,110",0.939,0.767,9.151,0.085,0.009,0.013,,15.311,7.313,0.54,-0.519
8,IBAI,2017,"911,538,724",0.052,0.723,6.477,0.092,0.01,0.015,,15.308,7.381,1.302,-0.088
8,IBAI,2018,"703,262,032",-0.228,0.834,6.97,0.105,0.011,0.014,,15.222,7.442,2.274,0.013
8,IBAI,2019,"877,662,366",0.248,0.872,7.619,0.1,0.011,0.014,,15.23,7.492,1.551,0.029
9,IKFN,2010,"346,204,931",0.613,0.891,5.156,0.084,0.008,0.013,,14.688,6.887,0.183,-28.982
