Date,ta,cc,ffr,lf
2004,0.06269718000000069,0.05064301999999987,1.171935484,1.065023483
2005,0.03770141999999943,0.038972171000000166,2.0009677420000003,1.224294601
2006,0.026666309999999527,0.03263913299999999,1.0809677419999995,0.6710917959999999
2007,0.026346840000000427,0.013461013999999771,-0.9935483869999997,-0.776062595
2008,0.9200151600000002,0.06785127499999977,-4.089354839,-10.798132493
2009,-0.0015846199999991484,0.05153892299999985,-0.03709677400000001,-23.415520700000002
2010,0.07526412999999899,0.0578774270000002,0.06516129,6.06811579
2011,0.18930096000000063,0.08511902800000026,-0.11161290299999999,8.731324709999999
2012,0.0033870700000004916,0.081273135,0.092903226,4.943879830000002
2013,0.31913634,0.06167964599999998,-0.07935483900000001,7.899735023
2014,0.11914150999999862,0.07544663599999968,0.037419355,4.565764439
2015,-0.0023695999999997497,0.0644671859999999,0.118064516,1.082028275
2016,-0.005859179999999853,0.0578743639999999,0.29935483900000004,1.23973597
2017,-0.003037490000000531,0.06780506700000011,0.7616129030000001,0.43147099499999997
2018,-0.08514774999999908,0.06183440300000065,0.9725806449999999,0.101179986
2019,0.007900619999999137,0.049918221999999624,-0.7232258059999999,0.01556497
2020,0.5756036900000012,0.14321033299999986,-1.460967742,-7.588985688
2021,0.17559228000000004,0.0714459569999999,-0.010322580999999997,15.918492143
