,TMP,WASH,THFF,CTBI,HFWA,HBNC,GSBC,JPM,WFC,GABC,RJF,SNV,MFG,CFR,WTFC,BOKF,FNB,PB,HWC,WAFD,CMA,FHN,FULT,WBS,TCBI,VLY,FCNCA,EWBC,ABCB,HTLF,BANR,WSFS,COLB,UCBI,SIVB,UBSI,UMPQ,WAL,WSBC,SASR,GBCI,CVBF,PPBI,HOMB,AUB,CATY,HTH,CBU,SFNC,FNLC,INDB,SSB,NTRS,BCS
count,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0,2265.0
mean,50.452364368733456,30.770237859511216,30.979093679634413,29.307521476914026,16.896015200709666,10.318775058476866,32.65737789314051,59.88919532556934,38.22534735808046,19.798018392558657,35.86168358404905,24.611382522119854,3.537598234454528,63.47910611318963,49.52918425385263,58.516887026485755,9.453120633097937,48.482977460814894,29.88335221566375,21.030000693803327,43.66557315464315,11.24891264938624,10.96713396223965,30.972902867230886,55.29405742417897,8.017662431072715,277.0250736800777,34.26178943095091,26.50925331031513,30.86472679289761,34.298109444456124,28.243296672492626,23.87094867445249,17.316612739226148,136.87374841887956,26.664759696135196,12.650537359898717,29.36396342060687,26.316018930228868,23.548326607255746,23.380625067325617,14.015941714398382,19.566973117592582,14.6310192663938,22.17518064528375,24.450030932731714,17.566287388496313,36.230109810566006,18.24113904350904,16.351736876927728,43.92259733776909,56.39111552122676,62.45633968664847,10.256075332127923
std,18.76538118384591,11.595876283626199,7.637845858243126,7.949046393165751,7.0638109197441405,4.499759544090338,12.864978280308282,27.143654760668344,10.043071009713515,8.37773351314461,13.495586584781352,10.63106733626781,0.46309792811904266,19.31774138055179,17.684145970968437,15.657901421660245,1.684310065199775,12.044148143923085,8.282279852616767,7.146762364520286,18.62331105259483,3.2933210844701386,3.178244813621546,13.12333416428666,19.371492020047366,1.3494970399866526,104.94465409923595,13.881956058595259,13.472166794662975,12.476830100889112,13.063421385032878,12.891596410826729,8.681273261445265,7.395952841449739,75.15501482433501,6.784924851759573,3.392527186883564,16.494247472992413,8.425362079607881,8.378593102092019,10.255543142505573,4.995477030202807,10.52117562528028,6.161953424012216,8.919288194587542,8.606796799471693,5.53725294015776,14.599581639846413,6.399190887282986,6.024766993729143,19.873030961934315,19.324033735670938,21.03664691527947,2.4113612781142697
min,24.50962257385254,12.637112617492676,19.350664138793945,14.069051742553711,7.237348556518555,3.695343255996704,11.565616607666016,21.2544002532959,16.86648178100586,7.695295810699463,13.839332580566406,5.366545677185059,2.450000047683716,32.5634651184082,22.205886840820312,32.8203125,5.290370464324951,25.047351837158203,17.561248779296875,9.656420707702637,16.660804748535156,4.355268478393555,5.302278518676758,10.980178833007812,20.559999465942383,5.705989360809326,132.39991760253906,11.505271911621094,7.725714683532715,10.62389850616455,9.355978965759277,9.083868980407715,9.326045989990234,5.431211471557617,34.40999984741211,13.09925365447998,5.463201522827148,4.439523696899414,12.051346778869629,10.242191314697266,6.433207988739014,5.473008155822754,5.183531284332275,4.093664646148682,7.726482391357422,8.3387451171875,6.4726243019104,15.810572624206543,7.525993824005127,7.529953479766846,16.0980167388916,20.0324764251709,26.970882415771484,5.897826671600342
25%,31.790441513061523,19.241924285888672,24.40216064453125,23.064449310302734,10.841418266296387,7.052963733673096,21.478260040283203,38.1433219909668,28.451313018798828,12.230557441711426,24.96636199951172,15.359864234924316,3.1500000953674316,45.59060287475586,33.69117736816406,45.28217697143555,8.16077995300293,37.123191833496094,23.459842681884766,13.982940673828125,28.638010025024414,8.710859298706055,8.33926773071289,18.11440086364746,43.56999969482422,7.025519847869873,190.4678192138672,20.800790786743164,12.943083763122559,21.698970794677734,24.08465576171875,14.863926887512207,15.563762664794922,9.923911094665527,68.9000015258789,19.575294494628906,9.15787410736084,13.337581634521484,18.382823944091797,15.24560260772705,13.767784118652344,9.0018892288208,10.989818572998047,8.034049987792969,15.222854614257812,16.225372314453125,12.871170997619629,22.518442153930664,10.755806922912598,11.4978609085083,25.826257705688477,41.81446838378906,44.46320724487305,8.09529972076416
50%,44.252803802490234,29.116872787475586,27.830406188964844,27.860858917236328,14.102522850036621,9.07386302947998,31.863094329833984,50.614444732666016,41.5201416015625,16.971860885620117,32.71610641479492,23.871450424194336,3.5299999713897705,59.10562515258789,43.702945709228516,53.67403793334961,9.649286270141602,48.05504608154297,26.12436866760254,18.857423782348633,37.622718811035156,11.267496109008789,9.860677719116211,29.012720108032227,53.33000183105469,7.471210479736328,242.11378479003906,32.18095016479492,24.117944717407227,28.910396575927734,34.617984771728516,25.45585060119629,22.987621307373047,16.652746200561523,113.58000183105469,29.063270568847656,12.706706047058105,29.546119689941406,26.01936912536621,21.640769958496094,21.892518997192383,13.380857467651367,15.68796443939209,15.938310623168945,20.449676513671875,23.91010856628418,18.88079833984375,31.1240291595459,19.057451248168945,14.28541374206543,38.43009948730469,59.20319366455078,59.4335823059082,9.79844856262207
75%,70.62390899658203,42.96366500854492,39.15917205810547,36.822147369384766,23.692846298217773,14.910772323608398,44.57884216308594,83.49691772460938,45.86178970336914,28.578792572021484,48.94985580444336,32.914207458496094,3.890000104904175,81.43525695800781,66.29597473144531,72.31031799316406,10.687273025512695,59.698001861572266,37.568931579589844,28.771970748901367,59.718711853027344,14.209948539733887,14.5090913772583,43.57489776611328,62.34000015258789,9.240307807922363,371.7784118652344,45.45994567871094,39.293006896972656,42.51921844482422,46.955535888671875,41.37576675415039,32.557857513427734,24.73538589477539,188.14999389648438,32.12084197998047,14.866093635559082,44.23361587524414,34.22669982910156,32.346405029296875,32.554420471191406,19.386165618896484,28.813390731811523,19.16263771057129,31.119579315185547,32.66988754272461,21.75135040283203,49.7880744934082,23.742685317993164,22.89666175842285,63.80136489868164,72.28765106201172,81.50794982910156,12.60318660736084
max,84.89998626708984,52.91826629638672,47.968807220458984,45.570899963378906,32.79228591918945,19.36213493347168,58.713157653808594,129.47825622558594,57.8324089050293,35.00088882446289,63.64333724975586,49.33745574951172,4.670000076293945,107.68795013427734,91.33668518066406,94.48849487304688,13.214862823486328,70.31770324707031,49.74617004394531,35.40657043457031,86.25880432128906,17.524677276611328,16.49701499938965,60.184471130371094,102.3499984741211,11.22608470916748,534.4605102539062,66.92091369628906,54.64857864379883,57.37908172607422,58.043365478515625,54.89246368408203,40.293907165527344,31.02031898498535,331.239990234375,41.11848449707031,21.21146583557129,60.2330207824707,45.301849365234375,39.12615966796875,44.048072814941406,22.427631378173828,41.303401947021484,26.516780853271484,38.954795837402344,40.14155960083008,28.13280487060547,67.4918212890625,30.40660858154297,28.085216522216797,85.80323791503906,86.31935119628906,104.8437728881836,15.46434497833252
